epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
53,2858.57,1.06406,1.7719,0.99634,1.03659,0,0.71888,0.56154,0.56306,0.37208,0.78541,0.42407,0.50515,0.1883,1.52611,2.62549,1.5835,1.22059,0,0.000693351,0.000693351,0.000693351
54,2910.89,1.10819,1.75751,0.96993,1.04155,0,0.90263,0.46513,0.61851,0.38913,0.56467,0.54233,0.53779,0.1971,1.51152,2.49819,1.48694,1.24833,0,0.000679204,0.000679204,0.000679204
55,2963.34,1.06827,1.81917,1.00455,1.0446,0,0.91085,0.5101,0.61099,0.36934,0.75897,0.45544,0.52092,0.1863,1.5641,2.43687,1.51974,1.23694,0,0.000665057,0.000665057,0.000665057
56,3016.19,1.07115,1.79198,1.00175,1.02328,0,0.79693,0.54377,0.60479,0.37,0.61488,0.51734,0.52877,0.17268,1.44662,2.52834,1.50946,1.16523,0,0.000650909,0.000650909,0.000650909
57,3070.24,1.10303,1.78965,0.98515,1.03955,0,0.86638,0.49406,0.59126,0.38192,0.73745,0.46719,0.51197,0.18421,1.36838,2.57088,1.48168,1.14505,0,0.000636762,0.000636762,0.000636762
58,3124.15,1.06195,1.74736,0.95738,1.04044,0,0.8047,0.50481,0.58085,0.37823,0.76871,0.48235,0.56531,0.19143,1.46455,2.65693,1.53959,1.18693,0,0.000622615,0.000622615,0.000622615
59,3177.89,1.04155,1.73737,0.92055,1.03804,0,0.63792,0.62169,0.64295,0.37144,0.71331,0.38756,0.4443,0.18306,1.52984,2.86236,1.486,1.25581,0,0.000608468,0.000608468,0.000608468
60,3232.87,1.05956,1.79248,0.93192,1.03356,0,0.66013,0.61372,0.65305,0.38391,0.72937,0.40052,0.48811,0.19181,1.52466,2.89553,1.43247,1.26051,0,0.000594321,0.000594321,0.000594321
61,3286.42,1.03988,1.74157,0.91744,1.02254,0,0.84641,0.52862,0.63836,0.39197,0.78168,0.44396,0.55089,0.20998,1.52596,2.81391,1.4182,1.21227,0,0.000580174,0.000580174,0.000580174
62,3338.6,1.06399,1.73788,0.93501,1.03123,0,0.80086,0.56146,0.6399,0.40111,0.85671,0.43444,0.56307,0.21037,1.50869,2.78297,1.41577,1.19194,0,0.000566027,0.000566027,0.000566027
63,3390.04,1.0102,1.66577,0.89315,1.00948,0,0.77989,0.5848,0.65118,0.38264,0.65989,0.51775,0.55139,0.18195,1.56945,2.76712,1.40396,1.20928,0,0.00055188,0.00055188,0.00055188
64,3443.42,1.04217,1.63662,0.91726,1.04088,0,0.82174,0.57492,0.63894,0.37705,0.75438,0.52525,0.58641,0.17036,1.57357,2.86332,1.39461,1.21118,0,0.000537733,0.000537733,0.000537733
65,3494.94,1.05334,1.76514,0.90811,1.01805,0,0.81973,0.56772,0.63623,0.38279,0.73717,0.50178,0.55963,0.182,1.46735,2.86697,1.32712,1.17457,0,0.000523586,0.000523586,0.000523586
66,3546.92,0.97336,1.55148,0.89433,1.01157,0,0.75494,0.56758,0.62324,0.35746,0.6839,0.50673,0.53969,0.17447,1.50845,2.88972,1.38898,1.19851,0,0.000509438,0.000509438,0.000509438
67,3598.65,0.98077,1.66383,0.86568,0.98948,0,0.84566,0.55625,0.63877,0.3908,0.71314,0.47832,0.55615,0.19683,1.51782,2.84084,1.3236,1.16364,0,0.000495291,0.000495291,0.000495291
68,3650.19,1.05127,1.69815,0.89595,1.01659,0,0.80496,0.5732,0.64934,0.40049,0.7069,0.49181,0.54698,0.19584,1.44917,2.85308,1.29724,1.14135,0,0.000481144,0.000481144,0.000481144
69,3701.28,0.98465,1.66548,0.86839,1.00278,0,0.68462,0.6119,0.62744,0.41544,0.73508,0.48654,0.5587,0.18365,1.40404,2.86283,1.2869,1.12837,0,0.000466997,0.000466997,0.000466997
70,3754.25,0.97073,1.58046,0.81723,0.97969,0,0.75272,0.5396,0.64077,0.4078,0.81812,0.46019,0.56109,0.19477,1.349,2.81879,1.21563,1.12425,0,0.00045285,0.00045285,0.00045285
71,3806.88,0.96562,1.60902,0.83111,0.99715,0,0.64785,0.60649,0.64805,0.43467,0.60292,0.55485,0.56172,0.19369,1.3356,2.76927,1.18655,1.11539,0,0.000438703,0.000438703,0.000438703
72,3859.1,0.96488,1.67535,0.82849,0.99038,0,0.93981,0.52862,0.67007,0.42913,0.68272,0.63684,0.6508,0.19174,1.35549,2.77259,1.2415,1.11841,0,0.000424556,0.000424556,0.000424556
73,3911.36,1.00011,1.66486,0.84389,0.99155,0,0.95499,0.52743,0.67539,0.43467,0.8578,0.46777,0.58266,0.20237,1.37507,2.72548,1.26206,1.13009,0,0.000410409,0.000410409,0.000410409
74,3964.52,0.95042,1.61366,0.82547,0.99021,0,0.8722,0.50481,0.65663,0.43076,0.60485,0.50238,0.52356,0.21278,1.40674,2.76772,1.23909,1.14598,0,0.000396262,0.000396262,0.000396262
75,4017.22,0.97856,1.68341,0.82907,0.98359,0,0.879,0.52862,0.66416,0.38044,0.66507,0.50856,0.54385,0.21451,1.54012,2.80591,1.28048,1.20055,0,0.000382115,0.000382115,0.000382115
76,4070.59,0.9253,1.60172,0.80083,0.97053,0,0.86226,0.53679,0.67553,0.39255,0.61853,0.53704,0.54687,0.21067,1.49338,2.82582,1.25311,1.2039,0,0.000367967,0.000367967,0.000367967
77,4122.31,0.95309,1.54584,0.79518,1.01445,0,0.8844,0.50481,0.63865,0.39939,0.52906,0.63011,0.58807,0.21198,1.48299,2.83454,1.30769,1.20192,0,0.00035382,0.00035382,0.00035382
78,4175.96,0.94684,1.57169,0.81627,0.98219,0,0.8867,0.50428,0.63115,0.39175,0.61289,0.53608,0.5739,0.22313,1.47256,2.77246,1.31933,1.18856,0,0.000339673,0.000339673,0.000339673
79,4228.51,0.90931,1.51614,0.81201,0.96442,0,0.84935,0.49769,0.62617,0.39251,0.60041,0.56582,0.58461,0.2312,1.47006,2.74719,1.34469,1.16093,0,0.000325526,0.000325526,0.000325526
80,4280.03,0.89285,1.5651,0.80198,0.97289,0,0.84,0.52862,0.64681,0.39933,0.65681,0.56059,0.5914,0.21961,1.41274,2.71965,1.32977,1.1313,0,0.000311379,0.000311379,0.000311379
81,4333.8,0.91678,1.60404,0.81785,0.97566,0,0.85149,0.52862,0.62917,0.40679,0.63284,0.59184,0.61015,0.20298,1.40689,2.79454,1.32981,1.13694,0,0.000297232,0.000297232,0.000297232
82,4385.13,0.90262,1.50458,0.77664,0.97513,0,0.78063,0.55892,0.66038,0.408,0.68124,0.49278,0.53179,0.20464,1.36032,2.81424,1.2907,1.11787,0,0.000283085,0.000283085,0.000283085
83,4435.68,0.88286,1.52569,0.77406,0.98313,0,0.94496,0.52173,0.67714,0.40893,0.63865,0.56957,0.55769,0.20576,1.38739,2.86033,1.28968,1.11972,0,0.000268938,0.000268938,0.000268938
84,4488.03,0.88682,1.53199,0.78128,0.96129,0,0.76815,0.60602,0.67579,0.41003,0.68912,0.57071,0.56954,0.18741,1.40286,2.93283,1.278,1.1397,0,0.000254791,0.000254791,0.000254791
85,4540.77,0.92786,1.56954,0.774,0.96191,0,0.88591,0.53522,0.66915,0.39858,0.59498,0.53628,0.55347,0.19539,1.38636,2.89938,1.27177,1.14933,0,0.000240644,0.000240644,0.000240644
86,4595.15,0.94143,1.54318,0.78576,0.98078,0,0.89593,0.53604,0.66308,0.40033,0.76448,0.44396,0.53416,0.19833,1.36446,2.85991,1.30305,1.13867,0,0.000226497,0.000226497,0.000226497
87,4646.69,0.89323,1.56455,0.74718,0.96193,0,0.90035,0.53317,0.66295,0.40914,0.64897,0.56085,0.57298,0.21388,1.38407,2.82952,1.3222,1.13048,0,0.000212349,0.000212349,0.000212349
88,4702.36,0.8032,1.4257,0.70917,0.9422,0,0.78604,0.57239,0.65428,0.40709,0.63335,0.55507,0.5901,0.21942,1.37825,2.80471,1.31967,1.12441,0,0.000198202,0.000198202,0.000198202
89,4761.42,0.86836,1.50715,0.7605,0.9764,0,0.70927,0.57407,0.62157,0.40179,0.6231,0.50794,0.53253,0.21441,1.35869,2.82128,1.32272,1.12917,0,0.000184055,0.000184055,0.000184055
90,4817.61,0.8626,1.51614,0.76756,0.95911,0,0.76126,0.59788,0.6417,0.4022,0.63854,0.50794,0.53461,0.21144,1.3648,2.85393,1.32193,1.14286,0,0.000169908,0.000169908,0.000169908
91,4870.36,0.778,1.35003,0.71709,0.93551,0,0.75821,0.57858,0.6459,0.41981,0.6581,0.5544,0.57355,0.20616,1.38448,2.92549,1.28601,1.14035,0,0.000155761,0.000155761,0.000155761
92,4923.44,0.75732,1.32995,0.70905,0.93702,0,0.76329,0.57692,0.64544,0.41769,0.6685,0.55403,0.58243,0.20788,1.3761,2.95128,1.25744,1.12831,0,0.000141614,0.000141614,0.000141614
93,4975.14,0.75379,1.33124,0.72311,0.93646,0,0.77576,0.57526,0.65953,0.41869,0.79961,0.46248,0.55539,0.20077,1.36743,2.98148,1.25755,1.13891,0,0.000127467,0.000127467,0.000127467
94,5027.56,0.72666,1.26565,0.70128,0.91914,0,0.78531,0.57459,0.65699,0.42256,0.80348,0.46248,0.56207,0.20763,1.38086,3.00777,1.27244,1.14571,0,0.00011332,0.00011332,0.00011332
